document id,Document Number,Year,Benefactor,benefactor ID,Granter,granter ID,object,Summary,Latin transcript,Notes,mentions coloni?,witnesses,Neighbours,description of holding,url,Churches mentioned,church ref,Locations mentioned,grant location  id,granter home id,Charter enacted location id
11,RF 319,876,Iohannes Abbot of Farfa,"1,2",Adelbert and Manfred ,,Land,Adelbert and Manfred (brothers) sell two patches of land in furcona ‘ad fontem antiquam’ -  by the old fountain,"IN NOMINE DOMINI Dei Salvatoris NOSTRI Ihesu Christi. Karoli diuina ordinante prouidentia imperatoris augusti, anno in christi nomine ijÂ°. xx die mensis ianuarii per indictionem x. Constat me adelpertum filium cuiusdam mainefredi una cum iohanne filio meo, sana mente et spontanea nostra uoluntat uendidisse et a die praesenti tradidisse in monasterio sanctae Mariae, quod situm est in territorio sabinensi et loco qui nuncupatur acutianus, super fluuium pharpham, ubi iohannes abbas praeesse uidetur, Terrae petias duas cum omnibus infra se habentibus. In furcone ubi uocatur ad fontem antiquam. Una petia est per mensuram in longitudine dextris decem et octo, et per latitudinem dextris quinque, Secus terram romani^ De duabus partibus et de uno latere, iuxta terram uestri monasterii, Vnum caput tenentem in terra iohannacij. Alia petia est per mensuram in longitudine dextris xv, et per latitudinem dextris vij, Secus terram suprascripti uestri monasterii, De duabus partibus et de uno latere, iuxta terram romani, unum caput tenentem in terra ursi; ambas ipsas suprascriptas petias in integrum. Vnde praetium recepet ate, suprascripte iohannes abbas, ex parte uestri monasterii denarios xl, quod apud nos habere testamur. In tali uero tenore, ut si quoquo tempore nos uenditores aut nostri haeredes, contra uos uel successores uestros aut ipsum monasterium, de ipsa suprascripta terra aliquando causare quaesierimus, aut ab alio homine minime defenderimus, aliam talem terram 
uobis in duplum persoluamus in consimili loco sub aestimatione. Vnde pro perpetua stabilitate uestra iohannem notarium scribere rogauimus. Actum in furcone, mense et indictione suprascriptis. ^ Ego adelpertus in hac cartula a nobis facta manu mea. *J* Ego furconinus manu mea. .*. Ego hilperimus manu mea. Ego iohannes manu mea. .*. Ego qui supra iohannes notarius conclusi et finiu",,,,,,,,,Furcona,,,
12,RF 320,876,Iohannes Abbot of Farfa,"1,2",Fraupert son of Rodorici,,Land,Fraupert son of Rodorici sells a plot of land to the monastery in Carsulae,"IN NOMINE Domini Dei Salvatoris nostri Ihesu Christi. Karoli diuina ordinante prouidentia imperatoris augusti, anno in dei nomine imperii eius in hitalia ij. mense mail per indictionem x. Constat me fraupertum filium cuiusdam rodorici habitatorem in carsule, bona uoluntate mea uendidisse et tradidisse a die praesenti in monasterio sanctae dei genitricis semperque uirginis Mariae sito in sabinis in loco qui dicitur acutianus, ubi vir venerabilis iohannes humilis abbas praeesse uidetur, Terram nostram quam habuimus in carsule, secus uiam publicam, petiam unam per mensuram pedis publici modia iiij. Vnum caput in uia publica, Pedem tenentem et unum latus in semita quae uadit ad riuum. Et de alio latere terra quae fuit sintari tiani mei. Ipsam terram ad eandem mensuram et infra designata loca, quae est modia iiij. cum omnibus intra se habentibus uobis, donine iohannes, seu in monasterio uestro in integrum uendidimus et per praesens tradidimus possidendam, Vnde nobis nichil reseruauimus in potestate. Pro qua recepi ego qui j. 
",,,,,,https://archive.org/stream/ilregestodifarf1879greg_0#page/20/mode/2up,,,Carsulae,,,
13,RF 321,,,"1,2",,,,Gauidepertus son of Godis sells some land to the monastery in Quinto,,,,,,,,,,,,,
14,RF 322,,,,,,,,,,,,,,,,,,,,
15,RF 249,821,"Giordanus, Abbot of Farfa","1,9",Spoletanus clericus filius mansionis monachi,8,"3,5,6,7,8","Spoletus sells half of his share of the land of the church of St. Stephen in carsulae. houses, vineyards,land, woods, apples and trees. The other half belongs to his brother.","IN NOMINE DOMINI DEI sALVATORis NOSTRI iHEsu CHRisTi. Hludouicus diuina Ordinante prouidentia imperatoris augusti, anno in christi nomine vij., Mense iunii Die vij., Indictione xiiij. Ego spoletanus clericus filius mansionis monachi, uendidi atque tradidi tibi, domne ingoalde, abbas de monasterio sanctae dei genitricis semperque uirginis mariae sito sabinis in loco qui dicitur acutianus, uel ad cunctam congregationem ipsius monasterii portionem meam quam habemus ad sanctum stephanum in carsulae, casas, uineas, terras, siluas, poma et arbores, cultum uel incultum, et omnia in integrum, quanta ibidem habemus quae michi a fratribus meis in partem competit, uobis uendidimus possidendam, unde nobis ibidem ex mea portione nichil reseruaui ad pretium placitum et diffinitum et in praesenti acceptum, argenti libram j. Quod apud nos habere testamur. Quatenus ab hac die in uestra uel successorum uestrorum permaneat potestate. Et ncque a nobis ncque ab ullo haerede posteroque nostro tibi, uel successoribus tuis, aliquando contradicatur, sed quicquid de ipsa mea portione facere uolueritis, uendendi, donandi, commutandi, in omnibus firmissimam habeatis potestatem. Et si ego spoletanus clericus aut haeredes mei contra te, iam diete domne ingoalde abbas, uel contra tuos successores, de ipsa mea portione causare uoluerimus, aut ab alio homine minime defendere potuerimus, dupla condicione uobis promittimus subiacere de ipsa mea portione meliorata in eodem loco de quo agitur. Actum in reate, mense et indictione suprascripta. Signum * manus spoletani clerici qui hanc cartulam fieri rogauit. * Ego constantinus testem me subscripsi. * Ego autelmus teslem me subscripsi. ^ Ego maurus testem me subscripsi. * Ego iohannes testis. Ego probatus testis sum. * Ego opteramus notarius scriptor. hujus cartulae post testium roborationem compleui et dedj. ",,,,,,https://archive.org/stream/ilregestodifarfa1879greg#page/206/mode/2up,Sancti Stephanus in Carsule,2,Carsulae,2,,
16,RF 250,821,"Ingoaldi Abbey of Farfa, monastery of Farfa","1,11",Teudipertus Gastaldi,10,"11,10,9,","Breve che ricorda la 
riconsegna della corte 
in Pitie fatta al Monastero dal castaido Tciidiperto per mandato dei 
messi imperiali Aledramo, Adalardo e Leone, e del duca Guinichi.","BREUE memoratorium qualitcr uenit teudipertus castaldius de cciculis per iussionem missorum Domni imperatoris Ludouici, Idest adelramnj et adhelardi et leonis, seu guinichis ducis, et retradidit ad partem monastcrii sanctae mariae, seu domni ingoaldi abbatis eiusdem monasterii, seu mansionem aduocatum curtem in pitte, cum omnibus ad eam pertinentibus ubi ubi per singula loca uel uocabula, maurica et gemmulus in ipsa massa habere uisi sunt, seu ad suam manum possiderunt, omnia ei ipse teudipertus retradidit, casas colonicias, uineas,terras, siluas, colonos uel colonas, seruos uel ancillas, aldios uel aldias, omnia in integrum retradidit sicut superius scriptum est. Et qualiter ei guinichis exinde potestatem dedit ad retradendum. Et facta est ipsa traditio in praesentia hautonis, iohannis, clarissimi, iohannis filli eius, aderisini, godelprandi, tyberii, boniti medici, pertonis,ansefridi filli rodeperti. * Ego hauto ibi fui. * Ego clarissimus ibi fui. * Ego godelprandus ubi fui. * Ego iohannes ibi fui. * Ego iohannes ibi fui. * Ego tyberius ibi fui. * Ego bonitus ibi fui. Ego opteramus notarius ibi fui et hoc 
breue scripsi, in mense augusti, per indictionem xiiij.","CURTEM in pitte donated by Gastald by mandate of Imperial missi.  (Curtis or Court??? court house?) Includes coloni, slaves and ‘ aldios uel aldias'",1,,,,,N/A,,Pitte,2,cciculis,
17,RF 251,821,,,,,,Long transcript of placitum settlement (revisit when you have the time). Lots of nobles involved perhaps flesh out other accounts.,"Dum a pietate domni praecellentissimi et a deo conseruati HLudouici magni imperatoris a finibus spoletanis directi' fuissemus nos aledram comes, et adelard, seu leo, uassi et missi ipsius augusti, singulorum hominum causas audiendas et deliberandas, et coniunxissemus nursiae, residentibus nobis ibidem in iudicio una simul cum guinigis et gerard ducibus, siguald, magio, hittone et liuthard aepiscopis, ingoald et gumpert abbatibus, albone, lanfrid, emmone et maximo uassis domini imperatoris, aldone, odone, ageris, ioseph, abbone et sigefrit castaldiis, brunipert et madelpert germanis, arnifrit, lupone presbitero, iohanne de furconae, trasegio, constantino et helpiano germanis, hildeprand, optipert, opteram et sinteram germanis, godelprand clerico, theodipert, iohanne, statio de reate et reliquis plurimis, retulit nobis ipse ingoald abbas cum audulfo aduocato monasterii eius sanctae mariae sito in acutiano, praeterito anno, quando fui in seruitio domni imperatoris franciae, suggessi eius excellentiae, eo quod quidam homo nomine paulus cum coniuge sua tassila, se optulit in monasterio nostro sanctae mariae et cum rebus suis, et habuit per praeceptum hildeprandi ducis concessas res in finibus spoletanis, et uiuente ipso paulo, et post eius mortem ipsas res pars monasteri nostri habuit usque illam diem qua iste guinigis ipsas res a parte ipsius monasterii toUere fecit iniuste per hildericum castaldium suum de reate. Tunc praecepit ipse princeps rothald et nortepert aepiscopis seu isti leoni, ut causam ipsam inquirerent et legibus iudicarent. Et cum coniunxissent spoletio, caepit quaerere iste audulfus meus aduocatus quod iste guinigis iniuste ipsas res ad regiam partem inuasisset. Tunc dixit iste guinigis: quod per ipsa praecepta quae hildeprand in eundem paulum de ipsis fccerat rebus, habere non potestis. Iterum ostendimus praeceptum confirmationis domni Hludoici, qualiter ipse prò sua helymosina in ipso monasterio concesserat, tam praecepta regalia, seu ducum, quae ipsis hominibus, qui in ipso monasterio animas saluandas intrauerunt, facta sunt. Et cum ipse guinichis hoc uidisset, dixit quod nichil paulus de suis rebus potestatem habuisset dandi et quod forfactus de omnibus suis esset rebus, eo quod quando in hoste in beneuentum ambulare debuit, quando domnus imperator cum germano suo domno pipino illic fuit, sine comiatu a fauro reuersus est. Et testimonia exinde ramiuit. Et talia dare non potuit qualia ramita habuit. Et qualia exinde dedit in praesentia rothaldi et norteperti aepiscoporum, seu istius leonis, nullum proficuum ei testificati sunt. Vnde quaerimus ut nobis iustitiam fieri iubeatis, sicut tibi leoni domnus imperator in uerbis commendauit. Et ecce indiculmn domni imperatoris uobis exinde directum. Et cum illud nobis relegi fecissemus, continebatur in eo qualiter iusserit ipse princeps suprascriptis aledrammo et leoni, ut sine marriotione ei de omni causa quam cum guinigis habebamus, et mota fuerat, uel inquisita in praesentia suprascriptorum rathaldi et norteperti aepiscoporum, uel aliorum hominum, plenam iustitiam facere fecissemus, ut ad eius aures amplius ei exinde non fuisset opus inquietare. Relecto hoc indiculo, recordatus est ipse leo ut superius ipse ingoald abbas et audulfus asseruerant, et breue de illis testimoniis quae guinigisi exinde dedit, relegi fecit. Et cum relectum fuisset, continebatur in eo qualiter testificauerunt raginard homo franciscus, hitto et deodatus, quod quando domnus Hludouicus cum germano suo pipino fuit in hoste in beneuento, tunc paulus reuersus fuisset a fauro, et introisset in monasterium cum rebus suis, et si exinde cum commiatu aut sine commiatu reuersus fuisset, nescirent. Et dixerunt quod plus exinde nescirent, nec dicerent. Deinde fecimus nos missi relegi cartulam ipsam qualiter paulus cum ipsa coniuge sua suas res per nominata loca in ipso contulisset monasterio et tradidisset. Iterum et fecimus nobis relegi primum praeceptum, quod hildeprand dux in eundem paulum emiserat, ubi continebatur qualiter donauerat ei casas tredecim. Nouem positas in massa amiternina. Et in massa eciculana iiij. Et molinum unum suptus porta reatina. Et siluam de felecto. Et pratum in lingla. Et in amiterno pratum modiorum sex et mancipium nomine dominicam. Aliud praeceptum ab ipso hildeprand eidem paulo emissum, qualiter concesserat ei casas duas in amiterno. Tertium praeceptum qualiter donauit eidem pauloni casalem unum ad fossas, qui pertinet ad gualdum patianum in massa eciculana. Et molinum unum in amiterno cum molinario suo in asenano. Istas suprascriptas casas cum integritate sua et familiis ad eas pertinentibus. Deinde fecimus relegi illud praeceptum confirmaticnis domni Hludovici imperatoris, qualiter in ipso monasterio praecepta ducum confirmauerat quae illis hominibus emissa fuerant, qui in ipso monasterio animas suas saluandas introierunt. 
Et cum relecta fuissent, interrogauimus ipsum guinigisum ducem per qualem rationem res pauli aut eius coniugis ad regiam partem defendere uellet, aut forsitan haberet exinde amplius testes, qualiter ipsas res defendere posset. Qui dixit: Certe de istius confirmationis praecepto domni imperatoris antea nesciui. Et testes amplius exinde non habeo, nec inuenire possum, et per nuUam rationem ipsas res ad regiam partem tenere possum cum lege, nisi prò eo solummodo quod ipsas res ad regiam partem recolligere feci, sicut alias res aliorum hominum, quas per praecepta ducum habuerunt, et sicuti commendatum michi fuit a domno Karolo imperatore. Professione hac facta, iuxta qualiter nobis indiculum a domno imperatore uenerat, et iuxta ipsa praecepta uel illius confirmationis praeceptum domni imperatoris, et secundum illam cartulam quam ipse paulus cum coniuge sua in ipso fecerat monasterio, fecimus reuestire exinde ab eodem guinigiso duce praedictum ingoaldum abbatem et audulfum eius aduocatum,' de ipsis rebus praedicti pauli et coniugis eius, quas ad regiam partem tenebat, ad partem ipsius monasterii sanctae mariae. Et missos eis deputauit ioseph et sigefrit seu theodipert castaldios, qui eos in ipsas res intromitterent. Et finitum est. Vnde qualiter actum et deliberatum est, praesentenì nofitiam pro securitate partis ipsius monasterii fieri admonuimus. Et ego quidem paulus notarius domnj regis scripsi. Anno imperii domnj Hludovici vii)., mense augusfi. 
Indictione xiiij. feliciter. Signum * manus suprascripfi aledrammi missi qui interfui. Signum * manus suprascripti adelardi missi qui interfui. * Leo missus domni imperatoris concordans subscripsi. * Ego sicualdus aepiscopus interfui. * Ego hitto aepiscopus ibi fui. * Ego liuthardus aepiscopus ibi fui. * Ego fromaldus subscripsi. * Ego maximus ibi fui. * Ego acerisius castaldius ibi fui. Signum * manus suprascripti guilhelmi saliqui qui ibi fui. Ego immo ibi fui. * Ego arni-fredus ibi fui. Signum * manus godeberti. * Ego statius ibi fui. * Ego gudelprandus ibi fui. * Ego madelpertus ibi fui. * Ego teudipertus. * Ego lanfridus ibi fui.",,,,,,,,,,,,
18,RF 252,821,Abbey of Farfa,1,Teuphanius son of gaitarij ,12,2,Oblation. Took place in Santa Maria in Copesseta. sub-house of Farfa ?,"IN DEI NOMINE. Breue offersionis, in quorum praesentia optulit teuphanius fìlius cuiusdam gaitarij duos fìlios suos hoc est grimaldum et gaidulfum in palla altaris, cum oblatione in monasterio sanctae mariae in acutiano ubi ingualdus abbas praeesse uidetur, cum omni portione substantiae eorum, in tali tenore, ut ipsi iam dicti grimaldus et gaidulfufe in ipso sancto monasterio ulta monastica uiuere debeant, sicut caeteri monachi de ipso sancto monasterio. Et ipsa oblatio facta est in praesentia scantrudi et scattonis, iselfredi, nandini, grisionis, teudemarij, gaidemarii, gaidaldi, ansonis, aldonis et aliorum hominum. Actum in sancta maria in copesseta, que est cella ipsius iam dicti monasterii sanctae mariae de acutiano. Anno imperii domnj Hludovici imperatoris, auxiliante domino, viij. Mense mail, Indictione xiiij. Vnde hoc breue memoratorium de ipsa oblatione scripsi ego lampertus notarius ex dicto scantrudi , scauini et aduocati ipsius monasterii, et suprascriptorum qui ibi fuerunt. * Ego theophanius in hac oblatione a me facta manu mea subscripsi. * Ego scantrudus ibi fui. * Ego scatto ibi fui. * Ego giselfredus ibi fui. Ego nandinus ibi fui. ","Two sons donated at Santa Maria  in Copesseta ‘Actum in sancta maria in copesseta, que est cella ipsius iam dicti monasterii sanctae mariae de acutiano’",0,5,,,,1,3,Copesseta,n/a,n/a,
19,RF 253,821,"Ingoaldi Abbey of Farfa, monastery of Farfa","1,11","ursum diaconum filium bonae memoriae grasolphi sculdahis, habitatorem ueterbii",13,,,"INDNIC,  iMpcraute domuo Nostro piissimo perpetuo augusto et a deo coronato Hludovico magno pacifico imiperatore, in dei nomine anno viij. Seu domnj nostri lotharij magni imperatoris eiusque filli , anno v. Atque domni Nostri paschalis summi pontificis et uniuersahs papae in sacratissima beati petri apostolorum principis sede anno v. Mense mali, Indictione xiiij. Constat me ursum diaconum filium bonae memoriae grasolphi sculdahis, habitatorem ueterbii, libera potestate uendidisse tibi, domne ingoalde abbas vir venerabilis, ad partem monasterii sanctae dei genitricis mariae, quod positum uel fundatum est in territorio sabinensi, loco ubi dicitur acutianus, Idest omnes res uel substantias meas quas habere uisus sum in fìnibus uel territoriis castri ueterbensis uel orclani. Casas, curtes, hortos et intrinsecus casae medietatem cum aliis mobilibus. Campos, prata, uineas, siluas, uniuersa territoria et casas in casale pittiano, qui michi per comparationem euenit cum territoriis, uineis, siluis uel omnibus pertinentiis suis. Seu et casam meam in casale quintiano cum uineis, territoriis uel siluis, cum omni ad ipsam casam pertinentia mea ratione. Et uendidi ego iam dictus ursus diaconus ad partem supradicti monasterii omnem meam portionem in casale antoniano, una cum sorte mea de casa sancti petri, cum casis uel territoriis et omni pertinentia sua, et aliam meam portionem infra suprascripto casale, quam ibidem a quondam genitore meo habere uisus sum, Idest vineas, territoria et oliuetum cum arboribus uel accessionibus suis in integrum, quanta genitor meus ibidem extra ipsam aecclesiam superius nominatam habuit, et michi in portionem a germanis meis uenit. Et uineam quondam genitoris nostri in faniano, ex qua medietas uenit michi uenditori a germanis meis. Ipsam uendidi in integrum. Idest sortem meam in casale fuliano, prisciano, ripi, dedi in integrum meam portionem, et sub ponte quinquagesimo et alia casalia quae michi successione quondam aui mei uel genitoris mei de fego palatii per singulos casales eueniunt, et nichil michi aliquid exinde reseruaui, sed omnia mea quae de iure parentum uel de comparatione michi pertinent in integrum et in transactum uendidi, ut superius legitur. Vnde suscepi ego uenditor a te garipaldo monacho a parte sanctae mariae pro suprascripta pecunia, idest solidos ce, bonos et expendibiles, finitum pretium, sicut inter nos bono animo conuenit. Quatenus suprascripta res in uestra, emptores, uel posterum uestrorum sit potestate faciendi et iudicandi qualiter uolueritis. Et si, quod fieri minime credimus, ut habet humana fragilitas, ego ipse uenditor, aut aliquis de meis haeredibus, uos emptores uel successores uestros in aliquo molestauerimus, et a quoquam homine defendere non potuerimuSj tunc componamus uobis, quibus exinde infertur molestia, paenae nomine ipsas suprascriptas res duplo, uel quantum fuerint melioratae sub iusta aestimatione. Actum intro castrum ueterbi ",Interesting one. Early castle lots of interesting descriptions of land and gardens. Deacon donating land and mention of casa of st. Peter that may correspond to remains of church. Orclano also mentioned in 284. ,,,,,,1,7,Castle Ueterbus near Orclano ,7,7,
20,RF 254,,"Farfa, Abbot Ingoaldus","1,11",,,,Sale ,"INDDSHC Hludouici Serenissimi augusti a deo coronati magni et pacifici imperatoris, romanum gubernantis imperium, anno in dei Nomine viij. et temporibus gerardi ducis, anno ducatus eius in christi nomine vj. mense septembris, Die j. Indictione xiiij. Ciuitatis camertulae. Ego lupo et cuniprandus germani filli cuiusdam guiliprandi bona nostra uoluntate uendidimus atque tradidimus tibi ingoaldo viro venerabili abbati, terram nostram in fundo paterno, qui est unum congruum per loca designata. Ab uno latere usque terram taciperti et cameronis, et ab alio latere usque terram iam dicti taciperti et cameronis, et desuper usque uiam publicam, de suptus usque terram sanctae mariae. Ipsam terram cum arboribus suis et cum medietate de una casa quae ibidem super ipsam terram posita est. Et uendidimus tibi, cui supra, terram nostram, quartarium loci in loco qui nominatur fanulo, super sanctum abundiurrj. Vnde recepimus a te pretium boum parium j et iumenta j. Quod apud nos habere testamur. Tali ordine spondimus nos et nostri haeredes, quod si uobis uel uestris successoribus non potuerimus a quolibet homine defendere, ipsam nostram uenditionem uobis in ipsis locis duplam repromittimus componere. Quam nero cartulam ego ildolfus notarius scripsi. Signum * manus luponis, Signum * manus cuniprandi qui hanc cartulam fieri rogauerunt * Ego fuso manu mea * Ego teuphanius, qui maio uocor, manu mea. Ego gunfredus manu mea. * Ego qui super ildolfus notarius scriptor huius cartulae inclausi et finiuj. ",Sale of Land to monastery in Camertulae near to church of Sancti Abundii in fanulo,,,,,,1,66,Camertulum,52,52,
21,RF 255,,,1,,,,,,,,,,,,,,,,,
22,RF 229,817,"Farfa, Abbot Ingoaldus","1,11",Iohannes son of teudatus,20,,"Iohannes with advocatus Ansifredo donates the things in ‘Asera’ (grove?) incluidng church of st. John with houses,land, vines, meadows woods, grazing and cultivated. that belonged to his brother Leonis and sister Totae for their memory. Except Three men and their families /tribe of men (exceptis tribus hominibus, solae personae cum familiis suis)","IDN. Breue recordationis in quorum praesentiam dedit guadiam iohannes filius cuiusdam teudati de nola ansifrido aduocato, ut in praesenti bora qua ueniret ipse iohannes in reate, faceret cartulam in monasterio sanctae dei genitricis semperque uirginis mariae sito sabinis in loco qui dicitur acutianus, ubi domnus ingoaldus abbas presens esse uidetur, de rebus illis in asera, quae fuerunt cuiusdam leonis de super uia publica, prò mercede animae suae et prò remedio animae bonae memoriae leonis cognati sui seu totae sororis suae. In primis de aecciesia sancti iohannis quae sita est ibidem in asera, et de casis, terris, uineis, pratis, siluis, pascuis et cultum uel incultum, omnia et in omnibus, quantum super uia publica habuit ipse quondam leo siue de comparatione, cambiatione, donatione, omnia et in omnibus, exceptis tribus hominibus, solae personae cum familiis suis. Et sic dedit guadiam ipse iohannes ipsi ansifrido, et qua hora in reate primo omnium ueniret et si de his omnibus superius scriptis, in ipso sancto monasterio cartulam facere noluisset, componeret ad partem monasterii auri solidos mancosos C. Et Posuit fideiussorem audolphum sculdahis de reate. Factum est in Spoleto xviij. die mensis ianuarii, per indictione xij. In presentia aldonis castaldii de furcone, leutherii, hildeprandi filii magionis, teudiperti actionarii de ciculi, statii, * Ego aldo castaldius ibi fui. * Ego iohannes ibi fui. * Ego rodericus ibi fui. Ego heleutherius ibi fui. * Ego hildeprandus ibi fui. 
",Documento 239 . Iohannes involved in another transaction with this church involving usufruct. See Costambeys p.243 for charters relating to this family. Iohannes later leases this land back from Father in first LL document to detail money rent.,,,,,,,,,,,
23,RF 23,749,,"Farfa, ",,,,,"INDDSNIC. Temporibus domni luponis gloriosi et summi ducis gentis langobardorum, anno ducatus eius in dei nomine V, seu et uiri magnifici taciperti gastaldii ciuitatis reatinae, mense nouembris, per indictionem iij. Ideo constat nos benedictum diaconum et teuderadum germanos uendidisse et uendidimus tradidisse atque tradidimus, tibi uiro uenerabili fulcoaldo abbati de monasteri sanctae dei genitricis semperque uirginis mariae, portiunculam piciareni in busiano et in hilice, cum casis, uineis, terris cultis uel incultis, omnia et in omnibus quantum ipse iam dictus piciarenus ad suam tenuit manum in integrum, ad pretium placitum et diffinitum et in praesenti acceptum, cauallos duos ualentes solidos quinquaginta, et tendam ualentem solidos xx, Quod apud nos habere testamur. Et ipse praedictus piciarenus qui est colonus, si ibidem resedere uoluerit, resedeat in ipso dicto et angariam quam nobis fecit faciat. Et si exire uoluerit, licentiam habeat cum libertate sua. Portiunculam eius sicut superius diximus, omnem in monasterio concedimus possidendum. Ita ergo, ut ab hac die firma et stabilis sit nostra uenditio, et neque a nobis, ncque ab uUo haeredum nostrorum, ista uenditio contradicatur. Unde pro firmitate ipsius uenerabilis loci, godipertum notarium scribendum postulauimus, et testibus a nobis rogatis optulimus, qui supter signum sanctae crucis fecerunt. Actum in reate, mense et indictione suprascripta. Signum * manus benedicti diaconi uenditoris et traditoris. Signum * manus teuderadi uenditoris. Signum * manus rimonis fratris eius consentientis. Signum * manus guinelapi sculdahis testis. Signum * clarissimi sculdahis testis. Signum * manus alifiedi testis. Signum manus reudemundi testis. Signum «J» aidualdi testis, Signum * manus herniani testis. Signum * manus liusperti testis.","It is agreed by us Deacon Benedictus and Teuderadum his brother will sold and have sold and will deliver and have delivered. to you venerable man fucoaldo abbot of the monastery of saintly virgin mary mother of god. A portion  of piciareni in basin et in hillce, with houses, vineyards, land cultivatable and incultivatable, all in all as he has said in piciarenus to hold in his hand in its entirety. The price is right and acceptably set at two strong solidos and 50, and ‘tendam valentem’ solids 20. What we have seen. And he praedictus piciarenus who is a coloni if you wish to remain there. he may reside in the said place. With the anagriam that he provided to us. And if he wants to leave a license you have with his freedom. The portion thereof as described above all in the monastery concede possesion.",yes,,, Busiano ed in Ilice,,,,busiano et  in hilice,,,
24,RF 28,,"Farfa, Abbot Fulcualdo","1, 35",Lupo Duke of Spoleto,,,,"IDN. Domnus Lupo Gloriosus, et summus Dux. Monasterio sanctae dei genitricis mariae, quod situm est in territorio sabinensi in loco ubi dicitur acutianus, et uiro uenerabili Fulcualdo abbati, atque cunctae congregationi Monastero ipsius monasterii. Per praesens praeceptum summae gloriae nostrae donamus atque concedimus in ipso monasterio et uestrae uenerationi, prò mercede et luminare, curticellam unam ad sanctum uitum prope fluuio farfae, loco ubi nominatur bitianus, cum aedificiis et pascuis ad ipsam curticellam pertinentibus , atque colonis qui residere uidentur in eodem bezano, idest marciolo, darò, magno, auderado, maximo, decciolo, sindone, gradalo, papiano cum filiis suis, et magna uidua cuiusdam maximi, iusto, et petro germanis. In montaniano albinolum, bonosum, et pupulum, seu peregrinum. Et in tauriano Probulum, et petrum. Et in ortisiano autarium, et sabulum. Et in maurianula tribunulum, amandulum, et merulam uiduam cuiusdam agionis. In negotiano Probulum, et francionem, et albulum cum portionibus eorum. In casale qui dicitur rentianus, simul et in foraniano, omnes colonos qui sunt uiginti sex. Hos omnes superius nominatos, qui in praescriptis casalibus residere uidentur, cum fratribus uel familiis, terris, uineis, pratis, uel omnia in omnibus, quanta ad manus suas habere et tenere uidentur cum omnibus adiacentiis et pertinentiis suis, sicut iulianus conductor usque in praesentem diem ad nostram defensare et tenere potestatem uisus est, una cum praenominata curte in integrum, ibi, prò animae nostrae mercede, concedimus possidendum. Quatinus ab hac die habentes hoc nostrae donationis praeceptum, securius haec omnia possideatis. Et nullus ex nostris gastaldiis uel actoribus, contra haec, quae nostra largita est potestas, audeat ire quandoque, sed omni tempore in ipso dei coenobio stabilius debeat permanere. Ex iussione potestatis, et ex dicto andreatis referendari) , scripsi ego landemarius notarius. Actum in curte nostra ad uarianum, anno ducatus nostri in dei nomine vj., mense octobris, Indictione iiij. Sub immone gastaldio. Feliciter.",,yes many colonus mentioned by name in grant of land to monastery.,,,,,,,bitianus by the river Farfa,,,
